1.36	3.47	7.08
34.27	8.84	2.23
36.26	23.29	2.41
4.62	17.84	29.69
30.62	23.97	38.24
16.77	28.75	25.97
18.26	39.42	35.74
17.28	34.92	37.34
6.54	26.17	35.13
23.85	30.74	20.53
1.44	32.76	26.15
10.96	6.61	19.01
39.71	23.81	17.04
33	3.89	34.81
4.9	37.75	10.76
7.29	3.98	33.21
18.97	20.6	32.48
33.33	16.08	20.77
10.62	4.99	29.2
37.87	13.04	34.52
13.63	28.96	18.28
15.39	8.77	29.67
4.32	26.46	28.47
9.33	7.55	24.68
31.36	31.56	17.93
32.6	21.96	14.16
25.74	5.46	5.64
4.43	7.7	18.93
4.64	12.93	4.47
29.88	22.41	4.05
33.6	31.4	31.28
30.12	28.99	29.51
14.66	13.12	33.62
1.94	16.73	21.54
17.27	34.23	25.17
2.47	4.29	15.38
17.66	23.97	25.46
20.86	14.57	2.74
27.54	30.49	27.21
7.14	5.68	24.21
10.91	3.63	22.58
13.98	17.02	25.67
28.66	17.19	28.96
15.75	6.6	13.01
39.16	32.38	11.54
6.58	36.79	13.7
22.37	2.34	10.95
36	17.22	37.99
30.54	3.57	3.22
36.31	6.42	4.04
2.87	38.1	22.18
36.41	6.92	1.22
18.01	29.95	23.7
10.85	2.07	18.46
6.93	31.27	17.47
15.83	31.2	25.46
5.13	16.11	14.01
7.09	15.68	23.51
6.25	23.83	11.48
11.14	7.07	6.64
28.58	25.64	12.83
3.28	39.13	20.54
1.38	32.45	13.48
34.2	3.75	3.59
2.74	32.65	3.88
11.2	32.39	33.08
4.66	39.05	25.12
27.67	37.46	29.51
22.65	22.76	2.88
34.16	18.78	36.21
17.77	29.99	14.36
7.43	20.13	27.61
24.62	9.4	15.46
26.86	21.28	39.66
19.63	15.36	37.19
16.71	18.69	22.86
34.31	29.53	32.76
5.95	25.15	14.83
14.84	35.4	32.06
28.21	35.59	12.47
23.75	37.65	3.3
4.7	39.45	33.92
36.37	23.3	38.88
37.68	2.82	28.48
33.45	31.18	26.78
3.77	15.7	19.78
18.06	6.71	7.39
27.21	27.01	34.39
23.57	7.84	12.81
11.96	4.84	4.44
10.24	19.79	26.69
21.69	20.32	11.14
20.2	13.25	19.61
29.95	26.8	32.95
14.94	16.37	31.44
31.97	10.79	11.34
11.13	1.94	32.61
38.82	37.42	15.26
1.44	11.53	36.05
19.41	4.47	5.91
39.19	37.85	38.79
25.12	34.38	39.2
20.11	34.42	34.78
