-290.2525	-253.9899
-461.7809	-676.6824
242.7636	468.5805
616.6275	45.1716
-580.8829	734.1588
612.2448	574.0821
544.1314	286.7849
200.5789	638.6584
902.7675	-798.9507
436.2657	286.5462
-558.3403	-687.6519
728.1155	-390.9207
2.7595	151.8984
994.2883	546.6377
-882.0673	672.137
912.8291	-878.1858
897.9361	-362.7167
634.7699	-331.332
-854.4182	-999.4012
-211.4581	-622.8428
7.903	490.6532
-448.4131	275.8628
138.8472	-79.3262
94.2834	910.3936
-438.741	-721.17
295.2787	-752.6992
-438.8794	167.642
987.7339	303.554
-134.3633	-624.435
73.243	265.8599
701.6526	-702.9001
-678.3669	-826.0324
-808.9118	237.4525
177.6258	970.487
909.7331	847.6763
-522.4827	-732.7713
-758.4671	625.2963
-151.0231	105.2825
904.7289	-373.3043
877.6681	530.7659
608.3639	-554.2166
881.9327	-149.3533
-263.3961	-930.1792
-138.3737	-198.2499
834.7382	-310.6059
-408.2312	-540.2465
43.6852	637.8933
-220.1678	433.3415
-498.5218	-206.1052
172.097	489.5464
-723.9879	50.4506
686.3562	-4.3688
-694.4663	16.1248
-463.9946	254.7296
-661.5922	43.7681
-840.5506	199.1679
-267.8341	636.9014
230.4332	-383.6667
-625.04	786.8304
-338.8807	-157.0989
421.1403	-867.6603
144.3682	455.6662
15.7574	791.5738
689.1714	732.128
-556.5856	-558.0615
790.0838	-859.6874
-219.9999	-589.4798
-122.9881	-195.4143
-677.3513	558.1164
779.1809	-391.252
751.5589	33.9006
-579.9034	-271.9869
-243.9991	887.3212
-205.5166	-32.0908
893.8664	-344.017
287.4935	-15.6116
-2.7893	867.9121
-309.5338	46.1799
-251.0759	695.3793
-700.9213	418.5749
-950.2092	142.4418
933.3325	-865.8674
457.2265	399.9667
-974.8738	-315.3258
143.6853	-288.3992
309.5648	-671.0461
817.8304	-493.9933
380.4692	-896.1592
-457.0578	20.5236
-253.9194	130.3603
-874.3806	-472.9379
-834.0031	865.4908
-905.6092	-121.6678
640.9633	-516.2437
908.4287	843.0801
-663.0262	8.2275
-928.2585	-82.1622
472.277	-946.2062
359.2159	-627.1719
-248.6135	-172.7964
995.9593	699.8772
