30	20

0	12	51	20	50	37	-7	16	15	44	15	48	31	50	24	37	9	27	50	2
-8	46	24	54	22	-17	-29	4	-1	24	20	53	31	27	3	14	23	14	3	5
8	62	-19	5	-15	52	30	-21	49	22	37	23	-8	33	-12	44	5	34	1	54
-27	70	49	18	35	30	-7	17	46	25	4	25	-19	35	66	5	27	41	42	13
23	15	35	34	-14	-2	-23	48	-12	-13	70	29	-13	13	-27	-9	-10	-17	37	32
17	8	-9	-23	-16	39	41	41	-18	-26	14	-11	30	21	32	-12	51	63	30	15
14	34	39	74	0	30	-12	-18	-28	28	-17	8	34	29	-33	15	28	-20	-2	76
19	52	-6	13	7	68	-15	-17	55	-20	12	-12	15	15	21	9	15	32	44	16
53	-21	21	8	34	18	-8	28	65	13	60	28	17	-5	-22	-21	36	40	48	40
-21	9	11	0	23	-27	-6	50	23	-3	-18	11	57	-12	16	-6	55	11	47	45
57	-7	8	18	20	-20	34	29	15	38	28	3	25	54	-12	66	5	59	-30	32
16	46	33	1	37	0	31	67	5	21	46	63	14	27	22	-11	6	10	16	69
11	74	15	-13	63	68	46	57	-26	1	-26	22	14	21	-18	3	34	9	53	21
47	13	63	61	43	45	65	58	47	-5	-1	-30	51	26	41	40	60	36	18	14
34	-27	47	23	-20	49	23	18	40	19	15	6	44	31	18	8	70	8	23	-23
-9	21	60	19	6	51	26	21	51	-11	47	-17	62	4	18	36	7	-24	24	25
29	-2	28	1	43	1	20	54	22	39	19	-5	27	8	7	-5	47	-3	25	51
-1	12	14	48	-1	-2	5	20	5	53	38	38	18	3	20	-8	-12	35	30	60
45	-3	8	6	22	15	25	6	11	34	25	30	37	75	43	29	3	29	-4	49
9	48	49	47	54	15	-18	72	34	50	37	16	-31	7	-12	36	37	18	69	-1
17	2	64	21	25	31	10	30	20	-17	11	-21	28	3	54	67	31	53	24	-5
21	-9	21	33	24	31	-22	21	74	41	11	9	-10	8	-15	22	41	30	23	35
1	36	22	2	48	54	52	4	16	39	19	66	34	22	-1	16	41	38	34	78
24	-2	15	23	-7	21	33	18	26	-7	26	46	1	32	35	73	51	24	21	8
2	3	33	-22	-21	-7	38	50	64	17	16	24	-15	15	17	19	36	19	-10	3
68	38	35	68	27	21	-21	12	-33	46	22	4	19	46	14	55	20	27	28	23
28	34	35	6	27	14	35	24	-7	27	56	57	18	47	25	26	19	-13	51	52
13	47	-14	22	61	32	48	45	-21	4	20	46	-3	8	38	9	21	39	32	-19
37	-35	55	11	60	20	6	26	43	-17	14	-8	-20	0	-30	16	-3	59	38	62
-16	-17	38	45	11	46	23	29	14	-18	26	11	20	52	10	-23	26	-1	33	-4
